run_key,family,T,method,samples,teacher_top1,candidate_top1,drop_top1,logit_mse_per_sample,kl_per_sample
c100_t1,cifar100,1,CNL_LUT_LIF_with_normalization,10000,77.58,70.79,6.79,49.39803969116211,0.40153274869918826
c100_t1,cifar100,1,CNL_LUT_LIF_without_normalization,10000,77.58,70.79,6.79,49.39803969116211,0.40153274869918826
c100_t1,cifar100,1,posthoc_dense_transition_LUT_6bit,10000,77.58,70.79,6.79,49.39803969116211,0.40153274869918826
c100_t1,cifar100,1,quantized_arithmetic_LIF_6bit,10000,77.58,70.87,6.71,49.45272922973633,0.4017965026855469
c100_t4,cifar100,4,CNL_LUT_LIF_with_normalization,10000,81.02,79.77,1.25,18.350349324035644,0.14174751863479615
c100_t4,cifar100,4,CNL_LUT_LIF_without_normalization,10000,81.02,79.55,1.47,18.35514033050537,0.14167751395702363
c100_t4,cifar100,4,posthoc_dense_transition_LUT_6bit,10000,81.02,79.55,1.47,18.35514033050537,0.14167751395702363
c100_t4,cifar100,4,quantized_arithmetic_LIF_6bit,10000,81.02,79.61,1.41,18.291696560668946,0.14094241642951966
c10_t1,cifar10,1,CNL_LUT_LIF_with_normalization,10000,94.9,94.53,0.37,1.21863210105896,0.04936294962763786
c10_t1,cifar10,1,CNL_LUT_LIF_without_normalization,10000,94.9,94.53,0.37,1.2187645559310913,0.04936622716188431
c10_t1,cifar10,1,posthoc_dense_transition_LUT_6bit,10000,94.9,94.53,0.37,1.2187645559310913,0.04936622716188431
c10_t1,cifar10,1,quantized_arithmetic_LIF_6bit,10000,94.9,94.43,0.47,1.218016051864624,0.049282670477032664
c10_t4,cifar10,4,CNL_LUT_LIF_with_normalization,10000,95.73,95.64,0.09,0.7994877058982849,0.035418192610144617
c10_t4,cifar10,4,CNL_LUT_LIF_without_normalization,10000,95.73,95.64,0.09,0.7968771208763122,0.03528228117823601
c10_t4,cifar10,4,posthoc_dense_transition_LUT_6bit,10000,95.73,95.64,0.09,0.7968771208763122,0.03528228117823601
c10_t4,cifar10,4,quantized_arithmetic_LIF_6bit,10000,95.73,95.54,0.19,0.7983854932785034,0.03542417216598988
